time_s,path_x_m,path_y_m,path_z_m,alpha_rad,beta_rad,gamma_rad,alpha_dot,beta_dot,gamma_dot,potential,min_hard_proximity
0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.01161606235220908,3.118028136579451
0.0325,0.0032500000000000003,0.0,0.0,4.962710175350791e-06,-0.07999217009846114,4.059771576388231e-06,0.00038085307587613286,0.00048053818627224245,0.0003115492896662615,0.0119006806055314,3.118065521605466
0.065,0.006500000000000001,0.0,0.0,2.4679431481429368e-05,-0.07996884898183317,2.0187274745323218e-05,0.0008313240389137048,0.0009533256967907079,0.0006799449789790116,0.012179644750899846,3.118176871735159
0.0975,0.009750000000000002,0.0,0.0,5.8923991296768485e-05,-0.07993028659237379,4.819380906162582e-05,0.0012748919562724842,0.001418482509717531,0.0010425818246364495,0.012452988592683146,3.1183609935821557
0.13,0.013000000000000001,0.0,0.0,0.00010747379064854211,-0.07987672900324623,8.789368943886457e-05,0.0017116642225834461,0.001876126749870613,0.001399550496928168,0.012720744651834676,3.118616712233648
0.1625,0.01625,0.0,0.0,0.00017010969194799697,-0.07980841847828177,0.00013910415405987404,0.0021417464561206247,0.0023263747176412108,0.0017509402228984396,0.012982944207056443,3.118942870965047
0.19500000000000003,0.019500000000000003,0.0,0.0,0.00024661596171034867,-0.07972559353080998,0.00020164531784373644,0.002565242526516037,0.002769340917445329,0.002096838809205449,0.01323961732311324,3.1193383309590907
0.22750000000000004,0.022750000000000003,0.0,0.0,0.0003367802141687613,-0.07962848898157178,0.0002753401266497757,0.0029822545820678164,0.003205138085723007,0.002437332664617333,0.013490792879127371,3.1198019710293297
0.26,0.026000000000000002,0.0,0.0,0.00044039335576932554,-0.07951733601572968,0.00036001431220681614,0.0033928830766478844,0.0036338772184906533,0.0027725068221496904,0.013736498596849311,3.120332687347923
0.2925,0.02925,0.0,0.0,0.0005572495305340817,-0.07939236223898981,0.0004554963477561977,0.003797226796213643,0.004055667598451735,0.0031024449608510604,0.01397676106889801,3.120929393177673
0.32499999999999996,0.0325,0.0,0.0,0.0006871460662793765,-0.07925379173284994,0.0005616174043971591,0.004195382884933688,0.004470616821676963,0.0034272294272425416,0.014211605786964877,3.12159101860824
0.3575,0.035750000000000004,0.0,0.0,0.0008298834216770902,-0.07910184510898721,0.000678211308123499,0.0045874468709318165,0.0048788308238573285,0.0037469412564181104,0.014441057169976929,3.1223165102964563
0.39,0.03900000000000001,0.0,0.0,0.0009852651341464794,-0.07893673956279959,0.0008051144975404929,0.004973512691658794,0.00528041390614018,0.004061660192808161,0.014665138592212058,3.123104831210686
0.4225,0.04225,0.0,0.0,0.001153097768564539,-0.07875868892611419,0.0009421659822512787,0.005353672718892139,0.005675468760555666,0.004371464710613495,0.014883872411361835,3.1239549603791605
0.455,0.045500000000000006,0.0,0.0,0.0013331908667830344,-0.078567903719076,0.0010892073019020511,0.005728017783379119,0.00606409649503432,0.004676432033916266,0.01509727999653543,3.1248658926422284
0.4875,0.04875,0.0,0.0,0.0015253568979405696,-0.07836459120122989,0.0012460824858756844,0.006096637199118595,0.006446396658031265,0.004976638156470992,0.015305381756199167,3.1258366384084586
0.52,0.052000000000000005,0.0,0.0,0.0017294112095581665,-0.07814895542180876,0.0014126380136233914,0.006459618787298115,0.006822467262757758,0.005272157861179874,0.01550819716604643,3.126866223414529
0.5525,0.05525000000000001,0.0,0.0,0.0019451719794071525,-0.07792119726924043,0.001588722775624358,0.00681704889988355,0.0071924048110275736,0.0055630647392621016,0.015705744796791012,3.1279536884888506
0.585,0.0585,0.0,0.0,0.0021724601681382526,-0.07768151451988566,0.0017741880349633867,0.007169012442873169,0.007556304316726326,0.005849431209117225,0.0158980423418795,3.1290980893188602
0.6174999999999999,0.061750000000000006,0.0,0.0,0.0024110994726609697,-0.07743010188601948,0.001968887389516766,0.0075155928992175335,0.007914259328907495,0.006131328534890813,0.01608510664511555,3.130298496221927
0.6499999999999999,0.065,0.0,0.0,0.002660916280262584,-0.07716715106306793,0.0021726767347366753,0.007856872351413817,0.008266361954524301,0.006408826844744134,0.016266953728191594,3.131553993919812
0.6824999999999999,0.06825,0.0,0.0,0.0029217396234561986,-0.07689285077611177,0.0023854142270246536,0.008192931503778242,0.008612702880799428,0.006681995148834196,0.01644359881812053,3.1328636813166297
0.7149999999999999,0.07150000000000001,0.0,0.0,0.003193401135547507,-0.07660738682566902,0.0026069602476848142,0.008523849704403045,0.008953371397242872,0.006950901357011149,0.016615056374562565,3.134226671280255
0.7474999999999998,0.07475000000000001,0.0,0.0,0.0034757350069100895,-0.07631094213276754,0.002837177367447627,0.008849704966801488,0.00928845541732135,0.007215612296233806,0.016781340117041396,3.1356420904271136
0.7799999999999998,0.07800000000000001,0.0,0.0,0.0037685779419591964,-0.07600369678331899,0.0030759303115551807,0.009170573991249,0.00961804149978453,0.007476193727708457,0.016942463052042493,3.1371090789103158
0.8124999999999997,0.08125,0.0,0.0,0.00407176911681421,-0.07568582807180513,0.0033230859253991015,0.009486532185821609,0.009942214869654228,0.007732710363757724,0.017098437499988628,3.1386267902110663
0.8449999999999998,0.0845,0.0,0.0,0.0043851501376400755,-0.07535751054428735,0.0035785131407022963,0.009797653687141174,0.010261059438885205,0.007985225884421953,0.017249275122086346,3.1401943909333117
0.8774999999999997,0.08775000000000001,0.0,0.0,0.004708564999658143,-0.07501891604075016,0.0038420829422359986,0.010104011380827218,0.010574657826695776,0.00823380295379728,0.017394986947037012,3.1418110606015617
0.9099999999999997,0.09100000000000001,0.0,0.0,0.00504186004681711,-0.07467021373678893,0.004113668335063583,0.010405676921664997,0.010883091379582023,0.008478503236116625,0.017535583397605945,3.143475991461851
0.9424999999999997,0.09425000000000001,0.0,0.0,0.005384883932114795,-0.07431157018465252,0.0043931443123028345,0.010702720753490966,0.011186440191014318,0.008719387411573956,0.01767107431704479,3.145188388285767
0.9749999999999995,0.0975,0.0,0.0,0.0057374875785616754,-0.07394314935365073,0.004680387823398476,0.010995212128801253,0.011484783120824342,0.008956515191900254,0.0178014689953595,3.1469474681775256
1.0074999999999996,0.10075,0.0,0.0,0.006099524140777312,-0.07356511266993661,0.004975277742896863,0.01128321912808893,0.011778197814288294,0.00918994533569175,0.017926776195417937,3.148752460384021
1.0399999999999996,0.10400000000000001,0.0,0.0,0.0064708489672107815,-0.07317761905567355,0.005277694839714912,0.011566808678910903,0.012066760720908136,0.009419735663496789,0.01804700417889228,3.1506026061078165
1.0724999999999996,0.10725000000000001,0.0,0.0,0.00685131956297656,-0.07278082496759672,0.005587521746895461,0.011846046574693387,0.012350547112899138,0.009645943072663653,0.01816216073202737,3.1524971583230283
1.1049999999999995,0.11050000000000001,0.0,0.0,0.007240795553297333,-0.07237488443497839,0.005904642931841389,0.012120997493276789,0.01262963110338622,0.009868623551954654,0.018272253191231255,3.1544353815940553
1.1374999999999995,0.11375,0.0,0.0,0.007639138647545326,-0.07195994909700655,0.006228944667020868,0.012391725015204524,0.012904085664315288,0.010087832195927179,0.018377288468480014,3.1485840636071076
1.1699999999999995,0.117,0.0,0.0,0.008046212603873958,-0.07153616823958601,0.006560315001136362,0.012658291641761401,0.013173982644082951,0.010303623219089501,0.018477273076530864,3.1228662983061177
1.2024999999999995,0.12025000000000001,0.0,0.0,0.008461883194431686,-0.07110368883157099,0.006898643730750015,0.012920758812763155,0.013439392784890921,0.010516049969832977,0.018572213153937412,3.0971046855100948
1.2349999999999994,0.12350000000000001,0.0,0.0,0.00888601817115002,-0.07066265556043815,0.007243822372358246,0.013179186924102044,0.01370038573982781,0.010725164944142539,0.01866211448986038,3.071299870774612
1.2674999999999994,0.12675,0.0,0.0,0.009318487232097928,-0.07021321086740878,0.007595744134908423,0.013433635345055454,0.0139570300896822,0.01093101979909216,0.018746982548667707,3.045452494736352
1.2999999999999994,0.13,0.0,0.0,0.00975916198839483,-0.06975549498202899,0.007954303892750678,0.013684162435352957,0.014209393359494032,0.011133665366128214,0.01882682249431739,3.019563193507558
1.3324999999999994,0.13325,0.0,0.0,0.010207915931674524,-0.06928964595621598,0.008319398159017971,0.013930825562013938,0.014457542034847668,0.011333151664139597,0.018901639214516673,2.993632599080879
1.3649999999999993,0.1365,0.0,0.0,0.010664624402092608,-0.06881579969777914,0.008690925059427623,0.014173681115955442,0.014701541577908159,0.011529527912325706,0.01897143734465136,2.9676613397448426
1.3974999999999993,0.13975,0.0,0.0,0.011129164556869941,-0.06833409000342394,0.00906878430649773,0.014412784528373001,0.014941456443207659,0.011722842542859145,0.019036221291478295,2.941650040510267
1.4299999999999993,0.14300000000000002,0.0,0.0,0.011601415339364877,-0.06784464859124684,0.009452877174171835,0.014648190286899338,0.015177350093185348,0.01191314321334847,0.01909599525657606,2.9155993235479194
