time_s,path_x_m,path_y_m,path_z_m,alpha_rad,beta_rad,gamma_rad,alpha_dot,beta_dot,gamma_dot,potential,min_hard_proximity
0.0,0.0,0.0,0.0,0.0,-0.08,0.0,0.0,0.0,0.0,0.009292849881767264,3.118028136579451
0.0325,0.0032500000000000003,0.0,0.0,3.970168140280511e-06,-0.07999373607766035,3.2478172611107062e-06,0.00030468251913539897,0.00038443068434760317,0.0002492394637134453,0.009520918872424011,3.118058044605556
0.065,0.006500000000000001,0.0,0.0,1.9743554905893307e-05,-0.07997507916794445,1.614982511506333e-05,0.0006650599233224563,0.0007626616313410398,0.0005439563618587569,0.009745392480514032,3.1181471247876793
0.0975,0.009750000000000002,0.0,0.0,4.713925160036874e-05,-0.07994422918581784,3.8555079279796215e-05,0.0010199161419613353,0.0011347896029058327,0.0008340668687383618,0.009966284218492294,3.118294422602172
0.13,0.013000000000000001,0.0,0.0,8.597923042979509e-05,-0.07990138292605652,7.03150597517853e-05,0.0013693377478732412,0.001500909852751376,0.0011196438786118326,0.010183606730991267,3.118498998423192
0.1625,0.01625,0.0,0.0,0.00013608825377232095,-0.07984673411187862,0.00011128359660743148,0.0017134098749102364,0.0018611161500262966,0.0014007591206312733,0.010397371824099074,3.1187599272905078
0.19500000000000003,0.019500000000000003,0.0,0.0,0.00019729382777810753,-0.07978047344281333,0.00016131683243853466,0.002052216240450096,0.0022155008025970284,0.0016774831773437057,0.010607590486345143,3.119076298680937
0.22750000000000004,0.022750000000000003,0.0,0.0,0.0002694261566949187,-0.07970278864181929,0.00022027318538429979,0.0023858391675567014,0.002564154679956317,0.0019498855028992235,0.010814272909661212,3.1194472162833766
0.26,0.026000000000000002,0.0,0.0,0.000352318097908605,-0.07961386450166442,0.00028801331275042565,0.0027143596068141254,0.002907167235767386,0.002218034440971411,0.011017428510314094,3.119871797777352
0.2925,0.02925,0.0,0.0,0.00044580511768793906,-0.07951388293057897,0.0003644000752058693,0.003037857157839068,0.0032446265300471637,0.002481997242387432,0.01121706594980821,3.1203491746150425
0.32499999999999996,0.0325,0.0,0.0,0.0005497252476234706,-0.07940302299719322,0.0004492985015481476,0.003356410090476416,0.003576619251000177,0.0027418400824848854,0.011413193155753206,3.1208784918067174
0.3575,0.035750000000000004,0.0,0.0,0.0006639190417501216,-0.07928146097477136,0.0005425757540281177,0.003670095365682704,0.0039032307365029157,0.0029976280781863324,0.011605817342695586,3.121458907709538
0.39,0.03900000000000001,0.0,0.0,0.0007882295343435537,-0.07914937038475266,0.0006441010942253263,0.003978988656105402,0.004224544995248468,0.0032494253048055933,0.011794945032909667,3.12208959381966
0.4225,0.04225,0.0,0.0,0.0009225021983804616,-0.07900692203961084,0.000753745849465209,0.004283164366361695,0.004540644727554398,0.0034972948125870733,0.011980582077145115,3.1227697345675978
0.455,0.045500000000000006,0.0,0.0,0.0010665849046530781,-0.07885428408504266,0.000871383379769485,0.004582695653019873,0.00485161134584097,0.0037412986429794792,0.012162733675328373,3.1234985271167863
0.4875,0.04875,0.0,0.0,0.0012203278815283744,-0.07869162204149625,0.0009968890453312953,0.004877654444292367,0.0051575249947836245,0.003981497844654673,0.012341404397213783,3.124275181165302
0.52,0.052000000000000005,0.0,0.0,0.0013835836753426163,-0.0785190988450496,0.0011301401745067773,0.005168111459441728,0.005458464571147416,0.004217952489269315,0.012516598202981804,3.125098918750677
0.5525,0.05525000000000001,0.0,0.0,0.0015562071114220437,-0.07833687488764962,0.0012710160323147796,0.005454136227906963,0.005754507743306152,0.004450721686975558,0.012688318463780419,3.125968974057776
0.585,0.0585,0.0,0.0,0.0017380552557206572,-0.07814510805672191,0.0014193977894367386,0.005735797108153024,0.006045730970452248,0.004679863601689104,0.012856567982206503,3.126884593229672
0.6174999999999999,0.061750000000000006,0.0,0.0,0.0019289873770661754,-0.07794395377416108,0.0015751684917087504,0.0060131613062491375,0.006332209521502663,0.004905435466111182,0.013021349012723338,3.127845034181482
0.6499999999999999,0.065,0.0,0.0,0.0021288649100054814,-0.07773356503471157,0.0017382130300979748,0.0062862948941815,0.006614017493704167,0.005127493596511845,0.013182663282010988,3.12884956641711
0.6824999999999999,0.06825,0.0,0.0,0.0023375514182409087,-0.07751409244374856,0.0019084181111557125,0.00655526282790109,0.0068912278309471294,0.005346093407281698,0.013340512009246073,3.1298974708488587
0.7149999999999999,0.07150000000000001,0.0,0.0,0.0025549125586489157,-0.07728568425446837,0.0020856722279396214,0.0068201289651168015,0.007163912341787282,0.005561289425250178,0.01349489592630576,3.1309880396198566
0.7474999999999998,0.07475000000000001,0.0,0.0,0.0027808160458728873,-0.0770484864044979,0.002269865631397579,0.007080956082832356,0.007432141717182797,0.005773135303777535,0.013645815297894636,3.132120575929264
0.7799999999999998,0.07800000000000001,0.0,0.0,0.0030151316174818234,-0.07680264255193212,0.0024608903022058743,0.007337805894635645,0.0076959855479517975,0.005981683836621937,0.013793269941588292,3.1332943938602016
0.8124999999999997,0.08125,0.0,0.0,0.0032577309996869416,-0.07654829411080859,0.002658639923054527,0.0075907390677412475,0.007955512341953522,0.0061869869715881634,0.013937259247790566,3.134508818210378
0.8449999999999998,0.0845,0.0,0.0,0.0035084878736082246,-0.0762855802860282,0.0028630098513726513,0.007839815239793236,0.008210789540998555,0.0063890958239596314,0.01407778219960107,3.135763184325349
0.8774999999999997,0.08775000000000001,0.0,0.0,0.003767277842083194,-0.0760146381077306,0.003073897092486868,0.00808509303542996,0.008461883537491773,0.006588060689715812,0.014214837392587791,3.1370568379343937
0.9099999999999997,0.09100000000000001,0.0,0.0,0.0040339783970102655,-0.07573560246513289,0.0032912002732059034,0.008326630082616944,0.00870885969081225,0.006783931058542456,0.014348423054461526,3.138389134988941
0.9424999999999997,0.09425000000000001,0.0,0.0,0.00430846888721914,-0.0754486061398404,0.0035148196158246194,0.008564483028747844,0.008951782343436122,0.006976755626632508,0.014478537064647141,3.1397594415035264
0.9749999999999995,0.0975,0.0,0.0,0.004590630486860836,-0.07515377983863743,0.0037446569125408006,0.00879870755652273,0.009190714836804217,0.007166582309287048,0.0146051769737486,3.1411671333992244
1.0074999999999996,0.10075,0.0,0.0,0.0048803461643101365,-0.07485125222576643,0.0039806155002782,0.009029358399602005,0.009425719526939063,0.007353458253314906,0.01472834002290206,3.142611596349531
